k,algorithm,min,max,mean,stdev
2,PlusPlusSeed,0.0,61725.0,13313.084931422009,12616.627197319443
2,KMeans,0.47179567775213016,19656.91962090746,4124.378287688675,3719.845680390252
2,BoundedSelfOrgCluster,0.6072269388091089,19222.21985530385,4126.6960931316635,3737.6496226623385
2,BSOCSimpleEdge,0.22352358597267166,18948.12660344593,4130.9297851752335,3762.7110651474695
3,PlusPlusSeed,0.0,29000.0,4278.865174992117,4714.028965195047
3,KMeans,0.01254084284777832,14334.296873134323,2079.8849369987647,2108.444865095202
3,BoundedSelfOrgCluster,0.27547845349703304,13343.517876329042,2127.9650518529297,2152.0885762586054
3,BSOCSimpleEdge,0.21798658027276735,19284.694152663513,3279.5913928101495,3510.6838931077123
4,PlusPlusSeed,0.0,31354.0,4936.116779649566,6284.206936558543
4,KMeans,0.10621248303182304,14067.765914193453,1593.6310036911786,1574.9492505230776
4,BoundedSelfOrgCluster,0.20663599992010254,15452.647421101494,2088.364686364327,2283.266823704367
4,BSOCSimpleEdge,0.13799417129290747,12845.776240232273,1863.8909146786784,1721.8160615043857
5,PlusPlusSeed,0.0,22365.0,4095.9838577091123,4788.322456514658
5,KMeans,0.35454175994649717,10282.015574810486,1246.308282032686,1279.1129233315498
5,BoundedSelfOrgCluster,0.42632320032535687,15224.347962711796,2007.4223986667141,2194.290604015757
5,BSOCSimpleEdge,0.1669921875,15616.843542194612,1477.2104436087002,1746.6901136215236
6,PlusPlusSeed,0.0,18185.0,2985.239164339444,3373.7411241781306
6,KMeans,0.23105777722239973,8652.580858317404,991.6260412688845,957.9835266363647
6,BoundedSelfOrgCluster,0.4209036759725821,14445.906978407424,1720.825116833152,1981.9260011310664
6,BSOCSimpleEdge,0.27393513086926413,11600.320692838439,1271.1529466518443,1317.074813969828
7,PlusPlusSeed,0.0,24618.0,4381.773360434215,5320.869298972971
7,KMeans,0.048711930360081354,8659.110437003266,857.15295743167,879.7623679087857
7,BoundedSelfOrgCluster,0.13626736446039553,12095.221908348458,1425.9071349596638,1613.40162085875
7,BSOCSimpleEdge,0.3220909080712891,8718.721759006949,932.0977730287344,869.5733244954529
8,PlusPlusSeed,0.0,21549.0,2850.9851470654476,3887.3591697145143
8,KMeans,0.06749218216352953,8253.430330714966,746.9654155219936,764.1086271005205
8,BoundedSelfOrgCluster,0.07171136416684822,12417.13767424339,1218.7966249813894,1570.1494398636319
8,BSOCSimpleEdge,0.16968845096243132,8579.315957640643,899.3515161128682,826.7069394263941
9,PlusPlusSeed,0.0,22089.0,3669.814566348363,4830.687504434129
9,KMeans,0.056043490788178524,8524.304040260056,667.6303651830993,696.2937549320106
9,BoundedSelfOrgCluster,0.021568790199266188,12198.968900657299,1054.4646605938397,1368.7373184259427
9,BSOCSimpleEdge,0.03745909265927373,6180.372486573946,828.9846663225908,726.0469068831908
10,PlusPlusSeed,0.0,23650.0,3596.129642245845,4962.914976036972
10,KMeans,0.21258456785681296,5891.00918889426,614.3741272828383,635.1708910037426
10,BoundedSelfOrgCluster,0.1419601331509776,6530.743043400597,804.5667795513111,930.3715968444159
10,BSOCSimpleEdge,0.14453125,8726.109345937326,678.5040743713519,688.2407689737396
